Temperature - (Celsius),Rainfall - (MM), Year, Month, Country, ISO3
-5.9938,44.9033,1991, Jan Average, United States, USA
-1.4523,34.3126,1991, Feb Average, United States, USA
0.93311,68.3717,1991, Mar Average, United States, USA
7.22711,62.5099,1991, Apr Average, United States, USA
13.457,72.9402,1991, May Average, United States, USA
17.8436,60.8318,1991, Jun Average, United States, USA
20.0982,63.5508,1991, Jul Average, United States, USA
19.2844,60.3199,1991, Aug Average, United States, USA
15.0825,58.3996,1991, Sep Average, United States, USA
8.20526,47.8025,1991, Oct Average, United States, USA
-0.777,51.9884,1991, Nov Average, United States, USA
-3.1181,56.2354,1991, Dec Average, United States, USA
-3.8417,43.8486,1992, Jan Average, United States, USA
-2.029,46.8692,1992, Feb Average, United States, USA
1.7601,51.8,1992, Mar Average, United States, USA
6.54484,40.3114,1992, Apr Average, United States, USA
12.149,47.3517,1992, May Average, United States, USA
17.0159,75.3149,1992, Jun Average, United States, USA
19.2404,83.0048,1992, Jul Average, United States, USA
18.0337,69.9358,1992, Aug Average, United States, USA
13.6838,54.2491,1992, Sep Average, United States, USA
7.39058,37.2617,1992, Oct Average, United States, USA
0.08293,69.0913,1992, Nov Average, United States, USA
-5.2008,58.7605,1992, Dec Average, United States, USA
-5.8241,66.8696,1993, Jan Average, United States, USA
-4.5001,45.2125,1993, Feb Average, United States, USA
0.83475,55.4353,1993, Mar Average, United States, USA
6.62221,54.665,1993, Apr Average, United States, USA
13.1449,59.3179,1993, May Average, United States, USA
17.0403,77.0064,1993, Jun Average, United States, USA
19.9706,65.6151,1993, Jul Average, United States, USA
18.9528,70.842,1993, Aug Average, United States, USA
13.8544,69.7481,1993, Sep Average, United States, USA
8.05962,50.4022,1993, Oct Average, United States, USA
-0.2091,49.9862,1993, Nov Average, United States, USA
-2.7904,42.0945,1993, Dec Average, United States, USA
-5.5608,46.2992,1994, Jan Average, United States, USA
-5.0196,41.8554,1994, Feb Average, United States, USA
1.16017,51.1538,1994, Mar Average, United States, USA
7.21114,54.5606,1994, Apr Average, United States, USA
12.9561,49.9343,1994, May Average, United States, USA
18.3532,64.4703,1994, Jun Average, United States, USA
20.3329,70.023,1994, Jul Average, United States, USA
19.4809,66.6114,1994, Aug Average, United States, USA
14.9965,50.5669,1994, Sep Average, United States, USA
7.76955,59.6839,1994, Oct Average, United States, USA
0.06799,63.9721,1994, Nov Average, United States, USA
-3.2257,47.4549,1994, Dec Average, United States, USA
-4.3366,59.7257,1995, Jan Average, United States, USA
-2.1594,32.5655,1995, Feb Average, United States, USA
0.20539,56.8964,1995, Mar Average, United States, USA
6.48089,54.6662,1995, Apr Average, United States, USA
12.3989,82.0112,1995, May Average, United States, USA
17.1606,71.0042,1995, Jun Average, United States, USA
20.2303,64.6036,1995, Jul Average, United States, USA
20.0112,63.8414,1995, Aug Average, United States, USA
15.3763,52.005,1995, Sep Average, United States, USA
8.27874,54.0717,1995, Oct Average, United States, USA
0.12322,43.7583,1995, Nov Average, United States, USA
-3.963,43.6976,1995, Dec Average, United States, USA
-6.8469,54.3966,1996, Jan Average, United States, USA
-3.464,44.4721,1996, Feb Average, United States, USA
-0.1998,45.2559,1996, Mar Average, United States, USA
6.08679,48.9061,1996, Apr Average, United States, USA
12.8269,65.4064,1996, May Average, United States, USA
17.9499,63.5212,1996, Jun Average, United States, USA
20.1927,70.6165,1996, Jul Average, United States, USA
18.9683,62.5555,1996, Aug Average, United States, USA
13.8271,73.165,1996, Sep Average, United States, USA
6.72733,51.7289,1996, Oct Average, United States, USA
-0.7594,60.3626,1996, Nov Average, United States, USA
-4.5414,60.7229,1996, Dec Average, United States, USA
-6.4851,55.7516,1997, Jan Average, United States, USA
-1.893,47.9717,1997, Feb Average, United States, USA
0.56502,44.8114,1997, Mar Average, United States, USA
4.7806,54.9884,1997, Apr Average, United States, USA
12.0628,57.0649,1997, May Average, United States, USA
17.4002,71.3211,1997, Jun Average, United States, USA
19.9856,61.903,1997, Jul Average, United States, USA
19.0581,69.1187,1997, Aug Average, United States, USA
15.7701,57.7671,1997, Sep Average, United States, USA
7.09173,51.8499,1997, Oct Average, United States, USA
0.74328,48.7373,1997, Nov Average, United States, USA
-3.9916,47.258,1997, Dec Average, United States, USA
-3.9077,63.6038,1998, Jan Average, United States, USA
-1.2578,61.215,1998, Feb Average, United States, USA
0.97368,63.2779,1998, Mar Average, United States, USA
7.0639,52.0032,1998, Apr Average, United States, USA
13.4827,54.3208,1998, May Average, United States, USA
17.0894,76.2272,1998, Jun Average, United States, USA
20.8214,70.6442,1998, Jul Average, United States, USA
19.4854,66.6957,1998, Aug Average, United States, USA
16.464,57.1607,1998, Sep Average, United States, USA
8.45728,62.7869,1998, Oct Average, United States, USA
2.02211,50.5666,1998, Nov Average, United States, USA
-3.5235,41.1999,1998, Dec Average, United States, USA
-5.2865,62.4591,1999, Jan Average, United States, USA
-2.8482,36.9806,1999, Feb Average, United States, USA
0.14473,42.7364,1999, Mar Average, United States, USA
6.10613,56.447,1999, Apr Average, United States, USA
11.9907,60.2647,1999, May Average, United States, USA
17.2482,74.2712,1999, Jun Average, United States, USA
20.2168,64.9352,1999, Jul Average, United States, USA
19.4332,59.7189,1999, Aug Average, United States, USA
14.3763,59.311,1999, Sep Average, United States, USA
7.64132,37.0606,1999, Oct Average, United States, USA
2.29889,30.2973,1999, Nov Average, United States, USA
-3.8835,38.9802,1999, Dec Average, United States, USA
-4.8574,46.6615,2000, Jan Average, United States, USA
-0.2395,44.0437,2000, Feb Average, United States, USA
2.47845,49.2126,2000, Mar Average, United States, USA
6.58868,45.9571,2000, Apr Average, United States, USA
12.8646,54.2021,2000, May Average, United States, USA
17.4274,73.2427,2000, Jun Average, United States, USA
19.8492,61.7354,2000, Jul Average, United States, USA
19.2772,54.6876,2000, Aug Average, United States, USA
14.493,56.4789,2000, Sep Average, United States, USA
8.11505,49.3667,2000, Oct Average, United States, USA
-0.6131,56.626,2000, Nov Average, United States, USA
-5.428,35.7163,2000, Dec Average, United States, USA
-3.7847,41.186,2001, Jan Average, United States, USA
-3.0018,49.1122,2001, Feb Average, United States, USA
-0.0047,50.3375,2001, Mar Average, United States, USA
7.09559,43.9325,2001, Apr Average, United States, USA
12.5108,55.8475,2001, May Average, United States, USA
17.66,63.3042,2001, Jun Average, United States, USA
20.258,71.4991,2001, Jul Average, United States, USA
19.8175,62.0058,2001, Aug Average, United States, USA
15.1284,54.5477,2001, Sep Average, United States, USA
7.34324,47.4617,2001, Oct Average, United States, USA
2.34029,45.2594,2001, Nov Average, United States, USA
-3.764,45.9422,2001, Dec Average, United States, USA
-3.3099,43.5913,2002, Jan Average, United States, USA
-2.6976,27.4338,2002, Feb Average, United States, USA
-0.4692,49.514,2002, Mar Average, United States, USA
6.54284,46.168,2002, Apr Average, United States, USA
12.1168,54.1303,2002, May Average, United States, USA
18.1705,55.5973,2002, Jun Average, United States, USA
20.9573,61.3301,2002, Jul Average, United States, USA
19.0236,61.3522,2002, Aug Average, United States, USA
15.7058,66.347,2002, Sep Average, United States, USA
7.51935,63.5794,2002, Oct Average, United States, USA
1.99889,39.5613,2002, Nov Average, United States, USA
-2.0194,58.0845,2002, Dec Average, United States, USA
-4.1002,27.4796,2003, Jan Average, United States, USA
-3.3133,52.7095,2003, Feb Average, United States, USA
0.70763,47.6297,2003, Mar Average, United States, USA
7.06732,50.6544,2003, Apr Average, United States, USA
12.4853,67.1961,2003, May Average, United States, USA
17.2764,73.0244,2003, Jun Average, United States, USA
20.8721,64.5441,2003, Jul Average, United States, USA
20.0847,64.8497,2003, Aug Average, United States, USA
14.4226,61.27,2003, Sep Average, United States, USA
9.60552,40.6255,2003, Oct Average, United States, USA
0.97442,56.8017,2003, Nov Average, United States, USA
-3.3251,51.0576,2003, Dec Average, United States, USA
-6.552,39.4653,2004, Jan Average, United States, USA
-3.5799,47.7099,2004, Feb Average, United States, USA
2.11256,41.4469,2004, Mar Average, United States, USA
7.38097,48.3192,2004, Apr Average, United States, USA
13.607,69.7316,2004, May Average, United States, USA
17.718,71.9222,2004, Jun Average, United States, USA
20.3101,68.4233,2004, Jul Average, United States, USA
18.8581,64.4608,2004, Aug Average, United States, USA
14.7634,68.991,2004, Sep Average, United States, USA
8.98645,64.3064,2004, Oct Average, United States, USA
1.90244,65.6162,2004, Nov Average, United States, USA
-2.9446,48.7183,2004, Dec Average, United States, USA
-4.4929,55.5486,2005, Jan Average, United States, USA
-2.164,43.2915,2005, Feb Average, United States, USA
1.37367,46.5282,2005, Mar Average, United States, USA
6.73714,49.209,2005, Apr Average, United States, USA
12.7262,57.4985,2005, May Average, United States, USA
18.0134,69.5348,2005, Jun Average, United States, USA
20.9218,62.827,2005, Jul Average, United States, USA
19.7991,69.3401,2005, Aug Average, United States, USA
16.1025,57.4564,2005, Sep Average, United States, USA
8.81693,49.9828,2005, Oct Average, United States, USA
0.84106,47.6027,2005, Nov Average, United States, USA
-3.5025,48.2116,2005, Dec Average, United States, USA
-2.8604,50.2136,2006, Jan Average, United States, USA
-2.6077,32.7462,2006, Feb Average, United States, USA
0.21326,46.7237,2006, Mar Average, United States, USA
7.53715,52.741,2006, Apr Average, United States, USA
13.4026,47.1999,2006, May Average, United States, USA
18.2456,60.4808,2006, Jun Average, United States, USA
21.3214,58.899,2006, Jul Average, United States, USA
19.3714,71.3216,2006, Aug Average, United States, USA
14.5088,63.8767,2006, Sep Average, United States, USA
8.07728,62.7933,2006, Oct Average, United States, USA
0.75494,47.253,2006, Nov Average, United States, USA
-2.3043,51.8906,2006, Dec Average, United States, USA
-5.3881,46.2211,2007, Jan Average, United States, USA
-4.5286,33.8129,2007, Feb Average, United States, USA
1.18232,45.3058,2007, Mar Average, United States, USA
6.68457,47.975,2007, Apr Average, United States, USA
13.3309,55.2243,2007, May Average, United States, USA
18.0941,62.7555,2007, Jun Average, United States, USA
20.907,66.7068,2007, Jul Average, United States, USA
20.5122,58.9464,2007, Aug Average, United States, USA
15.878,56.9789,2007, Sep Average, United States, USA
9.18131,58.6687,2007, Oct Average, United States, USA
2.29686,32.1629,2007, Nov Average, United States, USA
-3.598,59.0475,2007, Dec Average, United States, USA
-6.0538,46.0196,2008, Jan Average, United States, USA
-4.0929,48.9521,2008, Feb Average, United States, USA
0.37601,50.2697,2008, Mar Average, United States, USA
5.95609,52.8545,2008, Apr Average, United States, USA
12.2222,59.9574,2008, May Average, United States, USA
17.6739,68.5106,2008, Jun Average, United States, USA
20.1725,73.1963,2008, Jul Average, United States, USA
19.0584,63.4981,2008, Aug Average, United States, USA
14.9969,60.4252,2008, Sep Average, United States, USA
7.25488,48.0595,2008, Oct Average, United States, USA
1.00317,41.1999,2008, Nov Average, United States, USA
-4.6851,57.2156,2008, Dec Average, United States, USA
-5.9803,37.5391,2009, Jan Average, United States, USA
-2.9221,35.2346,2009, Feb Average, United States, USA
0.1311,55.799,2009, Mar Average, United States, USA
6.1227,55.2621,2009, Apr Average, United States, USA
13.1335,63.3077,2009, May Average, United States, USA
17.4456,64.8026,2009, Jun Average, United States, USA
20.0524,66.0239,2009, Jul Average, United States, USA
18.9091,66.0243,2009, Aug Average, United States, USA
15.5406,55.0799,2009, Sep Average, United States, USA
7.09582,83.8511,2009, Oct Average, United States, USA
1.63908,35.0367,2009, Nov Average, United States, USA
-5.159,57.9728,2009, Dec Average, United States, USA
-5.7482,50.1073,2010, Jan Average, United States, USA
-3.993,39.7066,2010, Feb Average, United States, USA
1.04996,44.9993,2010, Mar Average, United States, USA
7.51055,46.7279,2010, Apr Average, United States, USA
12.5768,63.829,2010, May Average, United States, USA
18.0394,77.4315,2010, Jun Average, United States, USA
20.4354,79.1638,2010, Jul Average, United States, USA
20.1567,60.0104,2010, Aug Average, United States, USA
